Bolagsnamn,Bransch,PE,PS,PB
AarhusKarlshamn,Livsmedel,28.52096939,1.47756803,4.102798939
ABB,Industrimaskiner,28.57024956,1.469442964,3.039484978
Active Biotech,Biotech,-11.75969028,47.72040176,7.450768948
Addnode,IT-Konsulter,40.0611496,1.504896045,3.665117025
Addtech,Industrikomponenter,22.25505066,1.495733023,6.380876064
Alfa Laval,Industrikomponenter,13.64422035,1.609130979,2.712025881
A3 Allmänna IT- och Telekom,Bredband & Telefoni,53.47153854,0.662580907,3.125061989
Anoto,Elektronisk Utrustning,-4.006410122,1.148980975,0.540009081
Arise Windpower,Vindkraft,-4.885392189,2.52877903,1.644793034
Assa Abloy,Byggmaterial,20.14694977,2.141128063,3.404090881
AstraZeneca,Läkemedel,97.98636627,5.364640236,9.965063095
Atlas Copco A,Industrimaskiner,24.06316948,3.831790924,7.468792915
Atrium Ljungberg,Fastighetsbolag,7.024137974,7.014125824,0.865375221
Autoliv,Bil & Motor,10.62693977,0.57376641,2.325206995
Avanza,Nischbanker,32.49956894,12.17685032,10.84103012
Axfood,Livsmedelsbutiker,25.95384979,0.842958391,10.63973045
Bergman & Beving,Industrikomponenter,11.91512966,0.370473206,0.940450013
BE Group,Industrikomponenter,53.79336166,0.088135019,0.401827991
Beijer Ref,Installation & VVS,31.05772972,1.807579041,6.141795158
Beijer Alma,Industrikomponenter,12.68762016,1.182631016,2.264944077
Beijer Electronics,Datorer & Hårdvara,17.8115406,0.74061799,1.690317035
Bergs Timber,Skogsbolag,14.93902016,0.204388604,0.60964179
Betsson,Betting & Casino,7.950790882,1.210365057,1.278059959
Bilia,Bil & Motor,6.88646698,0.188333005,1.744297028
BillerudKorsnäs,Skogsbolag,21.92639923,0.951682329,1.195348978
BioGaia,Hälsoprodukter,40.71511078,9.927598,15.01922035
Bioinvent,Biotech,-5.090514183,7.526000023,4.163739204
Biotage,Medicinsk Utrustning,38.69348907,6.5633111,8.25657177
Björn Borg,Kläder & Skor,8.871956825,0.44352901,1.304471016
Boliden,Gruv - Industrimetaller,9.191897392,1.065047979,1.283403039
Bong Ljungdahl,Förpackning,-6.248880863,0.068067729,0.278836906
Brinova,Fastighetsbolag,10.88331985,6.661929131,1.236963034
BTS Group,Affärskonsulter,24.35354996,1.967951059,4.372165203
Bure Equity,Investmentbolag,2.894824028,2.632803917,0.902880013
Byggmax,Detaljhandel,12.08810043,0.32421121,1.142104983
Castellum,Fastighetsbolag,7.724594116,7.497656822,0.996958673
Catena,Fastighetsbolag,9.225149155,9.561247826,1.790122986
Qliro Group,Betalning & E-handel,-6.334965229,0.237551197,0.785670221
CellaVision,Medicinsk Utrustning,69.89273071,15.01041985,19.89646912
Clas Ohlson,Detaljhandel,13.75430965,0.560295224,2.751003027
Cloetta,Livsmedel,13.31875038,1.021492004,1.580307007
Concordia Maritime,Olja & Gas - Transport,-4.521770954,0.406881213,0.439490199
Consilium,Säkerhet & Bevakning,-3.843323946,4.332546234,5.054339886
Corem A,Fastighetsbolag,2.343512058,7.59377718,0.893002927
CTT Systems,Installation & VVS,22.48741913,5.530729771,8.669108391
Diamyd Medical,Biotech,96.94656372,27.13167953,13.20617008
Diös,Fastighetsbolag,7.785243988,4.371276855,0.9552508
Doro,Hemelektronik,9.091741562,0.343299508,0.905892611
Duni,Hygienprodukter,13.71537971,0.665120184,1.384917974
Duroc,Industrikomponenter,5.305640221,0.245414704,0.793080211
Eastnine,Fastighetsbolag,6.064891815,16.02368927,0.797504127
Elanders,Media & Publicering,12.73383045,0.167458802,0.678639412
Electra Gruppen,Hemelektronik,11.55471992,0.1116376,1.006728053
Electrolux B,Hemelektronik,13.76877022,0.290344507,1.530864
Elekta,Medicinsk Utrustning,27.10795975,2.238033056,4.005648136
Elos,Medicinsk Utrustning,15.92656994,0.889422715,1.135707021
Enea,IT-Konsulter,16.38184929,2.74703598,1.876729965
Eniro,Marknadsföring,-0.061436869,0.036919739,-0.125031695
EnQuest,Olja & Gas - Exploatering,1.723464012,0.139760301,0.2018722
Ericsson B,Kommunikation,120.778801,1.181620002,3.279062033
Etrion,Solkraft,-11.50996971,2.568109989,-18.12257004
eWork,IT-Konsulter,14.74662971,0.087966561,7.022181034
Fabege,Fastighetsbolag,6.308930874,13.2672596,0.945675015
Fagerhult,Bygginredning,10.4012804,0.67406249,0.961236298
Fastpartner,Fastighetsbolag,4.342241764,8.102560043,1.081799984
Fast Balder,Fastighetsbolag,7.484940052,8.811934471,1.141762018
Feelgood,Hälsovård & Hjälpmedel,9.649123192,0.316338509,1.271667957
Fenix Outdoor,Kläder & Skor,16.12936974,1.601423025,3.092472076
Fingerprint Cards,Biometri,-330.0231018,3.075954914,2.494072914
Formpipe Software,Affärs- & IT-System,29.91839981,2.661556005,2.619437933
Getinge,Hälsovård & Hjälpmedel,42.08179855,1.936197042,2.451888084
GHP Specialty Care,Sjukhus & Vårdhem,26.17601967,0.71413821,2.330708981
Gunnebo,Säkerhet,28.1255703,0.231827095,0.864442587
ICA Gruppen,Livsmedelsbutiker,25.68836021,0.739027619,2.604960918
Haldex,Industrikomponenter,247.5684967,0.240285799,0.805277824
Heba,Fastighetsbolag,9.395131111,17.51530075,1.235595942
Hennes & Mauritz,Kläder & Skor,15.21175957,0.936272621,3.740981102
Hexagon,Mätning & Analys,21.76186943,3.911640882,2.520781994
Hexpol,Kemikalier,12.89091015,1.281764984,2.037475109
HiQ,IT-Konsulter,11.35499954,1.083835006,2.460877895
HMS Networks,Kommunikation,32.13489914,4.357986927,6.633049011
Holmen B,Skogsbolag,5.372050762,2.558969975,1.169338942
Hufvudstaden A,Fastighetsbolag,8.463354111,13.4408102,0.848523021
Husqvarna B,Hemelektronik,11.71623993,0.700303316,1.713253021
I.A.R Systems,Affärs- & IT-System,22.32518005,4.46940279,3.062144995
Image Systems,Affärs- & IT-System,-16.26275063,0.537264585,0.86035502
Indutrade,Industrikomponenter,22.34754944,1.798869014,4.619102955
ICTA,Affärskonsulter,1.198027015,0.411463201,0.993312716
Intrum,Kredit & Finansiering,-47.26548004,1.070353031,0.777214229
ITAB Shop Concept,Bygginredning,10.4095602,0.205981597,0.71457243
JM,Bostadsbyggnation,7.869997025,0.787398219,1.686575055
Kabe,Bil & Motor,8.961872101,0.448473305,0.970183492
Karo Pharma,Biotech,1051.852051,4.909601212,1.654425025
Klövern A,Fastighetsbolag,4.189559937,3.458287001,0.624317706
KnowIT,IT-Konsulter,11.43206024,0.795931816,2.166771889
Kungsleden,Fastighetsbolag,6.741836071,6.246523857,0.865469277
Lagercrantz,Elektroniska komponenter,22.38820076,1.992548943,5.112071991
Lammhults Design,Bygginredning,5.55960989,0.295899004,0.608772874
Latour,Investmentbolag,18.20342064,7.058423042,3.728127956
Lindab,Installation & VVS,9.468375206,0.650275588,1.277008057
Loomis,Säkerhet,9.631699562,0.753362417,1.652809978
Lundbergföretagen,Investmentbolag,8.783038139,4.837460041,1.290151954
Lundin Mining,Gruv - Prospekt & Drift,19.50453949,1.723562956,0.864606321
Lundin Petroleum,Olja & Gas - Exploatering,7.904336929,2.211232901,-4.078223228
Malmbergs Elektriska,Elektroniska komponenter,10.93375015,0.616599381,1.243283033
Medivir,Biotech,-2.810692072,48.1711998,1.879852057
Mekonomen,Bil & Motor,5.826329231,0.200239107,0.555080295
Mycronic,Elektronik & Tillverkning,14.56377029,2.891104937,4.181325912
Midsona B,Hälsoprodukter,22.32653046,0.702903628,0.932664096
Midway B,Investmentbolag,8.46996212,0.468173414,0.774773419
Millicom,Bredband & Telefoni,20.52350998,0.705254376,1.269399047
Stockwik,Investmentbolag,7.158302784,0.567724109,2.126673937
Amasten,Fastighetsbolag,7.599554062,8.092685699,1.053786993
MQ,Kläder & Skor,-0.401369427,0.065338999,0.209843923
Empir Group,IT-Konsulter,-4.378559113,0.173054099,0.332437485
MTG B,Media & Publicering,-11.55216026,1.50051105,1.229033947
MultiQ,Datorer & Hårdvara,4.973146915,0.458589494,1.154189944
NCC B,Byggnation & Infrastruktur,16.45368004,0.246659994,4.718791008
Nederman,Installation & VVS,17.70735931,0.928180218,2.901118994
NetEnt,Betting & Casino,15.34424019,3.670340061,6.878602982
Net Insight,Kommunikation,-21.92856979,1.57210803,1.520596981
New Wave,Kläder & Skor,5.229866982,0.284461886,0.523061574
NIBE,Installation & VVS,38.86978912,3.328351021,4.791357994
Nobia,Möbler & Inredning,7.051669121,0.410031706,1.335454941
Nolato,Kemikalier,18.83448029,1.672003984,4.464128017
Nordea Bank,Banker,13.68169022,2.406755924,0.660008192
NOTE,Elektronik & Tillverkning,9.540846825,0.49871549,1.887611032
Strax,Fritid & Sport,-15.16555977,0.231429204,1.308485031
Novotek,Affärs- & IT-System,11.39431,0.993209183,2.487489939
Oasmia Pharmaceutical,Läkemedel,-11.5447998,153.4311066,2.65574789
Odd Molly,Kläder & Skor,-0.666966975,0.187860101,0.387666106
OEM,Industrikomponenter,15.58755016,1.376734018,3.933526993
Trention,Investmentbolag,-24.50259972,2.985780001,0.612879515
Orexo,Läkemedel,9.5915308,2.487565041,2.974936008
Ortivus B,Hälsovård & Hjälpmedel,-9.356014252,2.944892883,17.10553932
Peab,Byggnation & Infrastruktur,9.433829308,0.365418106,1.608960032
Poolia,Bemanning,7.529644012,0.105820499,1.159811974
Precise Biometrics,Biometri,885,5.548828125,4.033360958
Prevas,IT-Konsulter,7.912643909,0.317103803,1.351930022
Pricer,Elektronisk Utrustning,19.05837059,1.856480002,2.2980299
Proact IT,IT-Konsulter,11.74440956,0.276041806,1.79458797
Probi,Livsmedel,24.70183945,3.388039112,1.841433048
ProfilGruppen,Industrikomponenter,8.370535851,0.309091687,1.208747983
Ratos B,Investmentbolag,10.15357971,0.266414195,0.609133422
RaySearch Laboratories,Medicinsk Utrustning,38.56093979,2.621207952,2.755398989
Rejlerkoncernen,Affärskonsulter,23.1566391,0.701462388,1.93177402
RNB Retail and Brands,Kläder & Skor,-0.131890193,0.01201288,0.113072403
Rottneros,Skogsbolag,7.723162174,0.625316024,1.085693002
Saab,Militär & Försvar,13.02744961,0.729076922,1.258016944
Sagax A,Fastighetsbolag,11.88708973,18.73756027,2.537652016
Sandvik,Industrimaskiner,19.42033005,1.606287003,2.680814981
SAS,Flygtransport,14.15205002,0.069079913,0.730988026
SCA B,Skogsbolag,24.89023018,3.253240108,1.034332037
SEB A,Banker,7.070175171,2.845462084,0.916213214
Sectra,Medicinsk Utrustning,68.21842957,9.492312431,21.52532959
Securitas,Säkerhet,11.60324955,0.351236701,1.990484953
Semcon,Affärskonsulter,8.332339287,0.476657897,1.428359985
Sensys Gatso,Säkerhet & Bevakning,-76.51612854,2.510277987,2.272428036
Handelsbanken A,Banker,8.934167862,3.392477989,0.945882976
SinterCast,Industrikomponenter,19.71080971,8.155021667,8.505460739
Skanska,Byggnation & Infrastruktur,11.01955032,0.385963112,2.026247978
SKF B,Industrikomponenter,10.93521023,0.706481516,1.711156011
SkiStar,Resor & Nöjen,14.84899044,2.399799109,2.538810015
Softronic,IT-Konsulter,13.67794991,1.064404964,2.654534101
SSAB A,Gruv - Industrimetaller,20.97145081,0.294728696,0.373749405
Stora Enso R,Skogsbolag,9.205422401,0.79263562,1.091302037
Studsvik,Energi & Återvinning,-10.00969028,0.428544194,0.926811814
Svedbergs,Möbler & Inredning,10.42090034,0.711811185,2.423101902
Sweco B,Affärskonsulter,27.00831985,1.822260976,5.258932114
Swedbank,Banker,5.870271206,2.515809059,0.834048092
Swedish Match,Tobak,25.49526024,6.737489223,-15.70269966
Swedish Orphan Biovitrum,Läkemedel,15.52715015,3.600600958,3.030205011
Swedol,Detaljhandel,16.34193039,1.069257975,2.74951005
Systemair,Installation & VVS,16.27535057,0.832894027,2.385987043
