Bolagsnamn,Lista,Sektor,Bransch,Ticker,Kursutveckling,Direktavkastning,PE,PS,PB
AarhusKarlshamn,Large Cap,Dagligvaror,Livsmedel,AAK,0.183362789,0.042731199,28.52096939,1.47756803,4.102798939
ABB,Large Cap,Industri,Industrimaskiner,ABB,-0.050601749,0.01940994,28.57024956,1.469442964,3.039484978
Active Biotech,Small Cap,Hälsovård,Biotech,ACTI,-0.115384588,0.061538458,-11.75969028,47.72040176,7.450768948
Addnode,Mid Cap,Informationsteknik,IT-Konsulter,ANOD B,0.108243771,0.01103448,40.0611496,1.504896045,3.665117025
Addtech,Large Cap,Industri,Industrikomponenter,ADDT B,0.178947392,0.027847731,22.25505066,1.495733023,6.380876064
Alfa Laval,Large Cap,Industri,Industrikomponenter,ALFA,-0.203703747,0.01069355,13.64422035,1.609130979,2.712025881
A3 Allmänna IT- och Telekom,Small Cap,Telekommunikation,Bredband & Telefoni,ATRE,0.072607288,0.033783779,53.47153854,0.662580907,3.125061989
Anoto,Small Cap,Informationsteknik,Elektronisk Utrustning,ANOT,-0.325236168,0.024083769,-4.006410122,1.148980975,0.540009081
Arise Windpower,Small Cap,Kraftförsörjning,Vindkraft,ARISE,0.764102631,0.03557409,-4.885392189,2.52877903,1.644793034
Assa Abloy,Large Cap,Industri,Byggmaterial,ASSA B,-0.124818954,0.054844608,20.14694977,2.141128063,3.404090881
AstraZeneca,Large Cap,Hälsovård,Läkemedel,AZN,0.297069988,0.008293839,97.98636627,5.364640236,9.965063095
Atlas Copco A,Large Cap,Industri,Industrimaskiner,ATCO A,0.187590637,0.0275634,24.06316948,3.831790924,7.468792915
Atrium Ljungberg,Large Cap,Finans & Fastighet,Fastighetsbolag,ATRLJ B,-0.110576887,0.062776299,7.024137974,7.014125824,0.865375221
Autoliv,Large Cap,Sällanköpsvaror,Bil & Motor,ALIV SDB,-0.312288857,0.095281305,10.62693977,0.57376641,2.325206995
