Bolagsnamn,Land,Lista,Sektor,Bransch,Ticker,Kursutveckling,PE,PS,PB
AarhusKarlshamn,Sverige,Large Cap,Dagligvaror,Livsmedel,AAK,0.036466212,23.52148244,1.218562687,3.383612731
ABB,Sverige,Large Cap,Industri,Industrimaskiner,ABB,-0.087679739,26.63593711,1.369955759,2.833699706
Active Biotech,Sverige,Small Cap,Hälsovård,Biotech,ACTI,-0.308677101,-10.35364295,42.0147,6.559915985
Addnode,Sverige,Mid Cap,Informationsteknik,IT-Konsulter,ANOD B,0.072243347,36.5370164,1.372512231,3.3427
Addtech,Sverige,Large Cap,Industri,Industrikomponenter,ADDT B,0.200507622,20.43214196,1.373217888,5.85821845
Alfa Laval,Sverige,Large Cap,Industri,Industrikomponenter,ALFA,-0.199590054,11.94299171,1.408496403,2.373877797
A3 Allmänna IT- och Telekom,Sverige,Small Cap,Telekommunikation,Bredband & Telefoni,ATRE,-0.031802108,45.08061862,0.558606675,2.634667814
Anoto,Sverige,Small Cap,Informationsteknik,Elektronisk Utrustning,ANOT,-0.51773838,-3.485576923,0.999613815,0.469807961
Arise Windpower,Sverige,Small Cap,Kraftförsörjning,Vindkraft,ARISE,0.627027054,-4.274718096,2.212681498,1.439193983
Assa Abloy,Sverige,Large Cap,Industri,Byggmaterial,ASSA B,-0.078416119,19.79124983,2.10332628,3.34399112
AstraZeneca,Sverige,Large Cap,Hälsovård,Läkemedel,AZN,0.00537636,80.48368089,4.406387909,8.185066106
Atlas Copco A,Sverige,Large Cap,Industri,Industrimaskiner,ATCO A,0.159574471,20.83563084,3.317841667,6.467020721
Atrium Ljungberg,Sverige,Large Cap,Finans & Fastighet,Fastighetsbolag,ATRLJ B,-0.009864309,7.622139325,7.611274493,0.939049008
Autoliv,Sverige,Large Cap,Sällanköpsvaror,Bil & Motor,ALIV SDB,-0.285047989,10.46233399,0.564879232,2.289191032
Avanza,Sverige,Large Cap,Finans & Fastighet,Nischbanker,AZA,-0.001516718,26.88446486,10.07299665,8.967973881
Axfood,Sverige,Large Cap,Dagligvaror,Livsmedelsbutiker,AXFO,-0.020360675,21.44567266,0.696536784,8.791611045
Bergman & Beving,Sverige,Mid Cap,Industri,Industrikomponenter,BERG B,-0.470476189,12.11117888,0.376568706,0.955923616
BE Group,Sverige,Small Cap,Industri,Industrikomponenter,BEGR,-0.247619038,8.205447794,0.094120009,0.444977354
Beijer Ref,Sverige,Large Cap,Industri,Installation & VVS,BEIJ B,0.278855038,28.54072831,1.661087551,5.644047768
Beijer Alma,Sverige,Mid Cap,Industri,Industrikomponenter,BEIA B,-0.302067909,13.21918671,1.232178419,2.359837146
Beijer Electronics,Sverige,Small Cap,Informationsteknik,Datorer & Hårdvara,BELE,-0.398954735,15.19154557,0.63167664,1.441679548
Bergs Timber,Sverige,Small Cap,Material,Skogsbolag,BRG B,-0.352131157,15.06097561,0.206057064,0.614618483
Betsson,Sverige,Large Cap,Sällanköpsvaror,Betting & Casino,BETS B,-0.493282166,6.495606327,0.988838972,1.044144519
Bilia,Sverige,Mid Cap,Sällanköpsvaror,Bil & Motor,BILI A,-0.136170177,8.879918012,0.24285048,2.249225345
BillerudKorsnäs,Sverige,Large Cap,Material,Skogsbolag,BILL,-0.171121578,18.79628908,0.815824406,1.024705971
BioGaia,Sverige,Mid Cap,Dagligvaror,Hälsoprodukter,BIOG B,-0.220779228,33.31235889,8.122580032,12.28845063
Bioinvent,Sverige,Small Cap,Hälsovård,Biotech,BINV,-0.402948418,-3.519188993,5.202895968,2.878487854
Biotage,Sverige,Mid Cap,Hälsovård,Medicinsk Utrustning,BIOT,-0.357088394,29.40356259,4.987524708,6.274250402
Björn Borg,Sverige,Small Cap,Sällanköpsvaror,Kläder & Skor,BORG,-0.3225,10.4991283,0.524874983,1.543719062
Boliden,Sverige,Large Cap,Material,Gruv - Industrimetaller,BOL,-0.416597824,6.679429909,0.77393272,0.932603868
Bong Ljungdahl,Sverige,Small Cap,Material,Förpackning,BONG,-0.226327915,-5.99820949,0.06533722,0.267651504
Brinova,Sverige,Small Cap,Finans & Fastighet,Fastighetsbolag,BRIN B,0.205555592,9.153800726,5.60325,1.040391247
BTS Group,Sverige,Mid Cap,Industri,Affärskonsulter,BTS B,0.103448277,22.44096496,1.813400061,4.028801517
Bure Equity,Sverige,Mid Cap,Finans & Fastighet,Investmentbolag,BURE,0.001379289,2.381463944,2.165910413,0.742765878
Byggmax,Sverige,Mid Cap,Sällanköpsvaror,Detaljhandel,BMAX,-0.271910095,9.75651725,0.261676468,0.921813246
Castellum,Sverige,Large Cap,Finans & Fastighet,Fastighetsbolag,CAST,0.031070161,8.66508387,8.410516956,1.11834112
Catena,Sverige,Mid Cap,Finans & Fastighet,Fastighetsbolag,CATE,0.116370811,8.702390544,9.01944374,1.688683128
Qliro Group,Sverige,Mid Cap,Informationsteknik,Betalning & E-handel,QLRO,-0.528499985,-6.409733551,0.240354931,0.794943163
CellaVision,Sverige,Mid Cap,Hälsovård,Medicinsk Utrustning,CEVI,-0.211072674,54.83669248,11.77692887,15.61044053
Clas Ohlson,Sverige,Mid Cap,Sällanköpsvaror,Detaljhandel,CLAS B,-0.071651092,13.05345785,0.531745117,2.610824602
Cloetta,Sverige,Mid Cap,Dagligvaror,Livsmedel,CLA B,0.070866094,14.09001957,1.08064515,1.6718201
Concordia Maritime,Sverige,Small Cap,Energi,Olja & Gas - Transport,CCOR B,-0.12592598,-4.3915147,0.395160288,0.426830011
Consilium,Sverige,Small Cap,Informationsteknik,Säkerhet & Bevakning,CONS B,0.725490189,-3.221071665,3.631086037,4.2360181
Corem A,Sverige,Mid Cap,Finans & Fastighet,Fastighetsbolag,CORE A,0.306451721,1.89824471,6.150959625,0.723332379
CTT Systems,Sverige,Small Cap,Industri,Installation & VVS,CTT,0.047368402,21.54029334,5.297786985,8.303983347
Diamyd Medical,Sverige,First North,Hälsovård,Biotech,DMYD B,0.692307739,-24.00793651,565.121472,14.94624533
Diös,Sverige,Mid Cap,Finans & Fastighet,Fastighetsbolag,DIOS,-0.08719348,8.657449283,4.861005394,1.062270627
Doro,Sverige,Small Cap,Sällanköpsvaror,Hemelektronik,DORO,-0.137837849,9.732434329,0.367491711,0.969730622
Duni,Sverige,Mid Cap,Dagligvaror,Hygienprodukter,DUNI,-0.075999985,16.14396785,0.782893023,1.630145495
Duroc,Sverige,Small Cap,Industri,Industrikomponenter,DURC B,-0.268551197,5.205059217,0.24076228,0.77804549
Eastnine,Sverige,Mid Cap,Finans & Fastighet,Fastighetsbolag,EAST,0.045045047,6.562756358,17.33906853,0.862970882
Elanders,Sverige,Mid Cap,Sällanköpsvaror,Media & Publicering,ELAN B,-0.37826088,13.66557565,0.179711889,0.728295859
Electra Gruppen,Sverige,Small Cap,Sällanköpsvaror,Hemelektronik,ELEC,-0.213973789,10.63861225,0.102786561,0.926910891
Electrolux B,Sverige,Large Cap,Sällanköpsvaror,Hemelektronik,ELUX B,-0.367889519,17.56606605,0.370418722,1.953061686
Elekta,Sverige,Large Cap,Hälsovård,Medicinsk Utrustning,EKTA B,-0.362691078,22.99133176,1.898164127,3.397348132
Elos,Sverige,Small Cap,Hälsovård,Medicinsk Utrustning,ELOS B,0.071225076,15.75892202,0.880060342,1.123751806
Enea,Sverige,Mid Cap,Informationsteknik,IT-Konsulter,ENEA,-0.19927536,13.02298173,2.183794466,1.491932762
Eniro,Sverige,Small Cap,Sällanköpsvaror,Marknadsföring,ENRO,-0.711764679,-0.051197392,0.030766453,-0.104193099
EnQuest,Sverige,Mid Cap,Energi,Olja & Gas - Exploatering,ENQ,-0.402985039,1.675977654,0.135909534,0.196310128
Ericsson B,Sverige,Large Cap,Informationsteknik,Kommunikation,ERIC B,-0.302288342,90.63614744,0.886724174,2.46070886
Etrion,Sverige,Small Cap,Kraftförsörjning,Solkraft,ETX,-0.256637173,-36.18461538,1.859707674,21.18312854
eWork,Sverige,Small Cap,Informationsteknik,IT-Konsulter,EWRK,-0.288863087,14.03677498,0.083732149,6.684156932
Fabege,Sverige,Large Cap,Finans & Fastighet,Fastighetsbolag,FABG,-0.007227174,7.035931442,14.79609804,1.054648498
Fagerhult,Sverige,Mid Cap,Industri,Bygginredning,FAG,-0.476351357,11.68259519,0.757099198,1.07964944
Fastpartner,Sverige,Large Cap,Finans & Fastighet,Fastighetsbolag,FPAR A,0.100521221,4.255858284,7.94136893,1.060278403
Fast Balder,Sverige,Large Cap,Finans & Fastighet,Fastighetsbolag,BALD B,0.198300285,6.799741192,8.005256933,1.037241379
Feelgood,Sverige,Small Cap,Hälsovård,Hälsovård & Hjälpmedel,FEEL,-0.037037089,10.86048454,0.356051958,1.431314968
Fenix Outdoor,Sverige,Large Cap,Sällanköpsvaror,Kläder & Skor,FOI B,-0.25134264,14.67646501,1.457169577,2.813907668
Fingerprint Cards,Sverige,Mid Cap,Informationsteknik,Biometri,FING B,-0.365473442,-253.8106236,2.365622741,1.918115143
Formpipe Software,Sverige,Small Cap,Informationsteknik,Affärs- & IT-System,FPIP,-0.280508499,25.65729828,2.282486408,2.246366297
Getinge,Sverige,Large Cap,Hälsovård,Hälsovård & Hjälpmedel,GETI B,0.390810013,32.72038337,1.505475206,1.906447146
GHP Specialty Care,Sverige,Small Cap,Hälsovård,Sjukhus & Vårdhem,GHP,-0.094101133,24.46889226,0.667564002,2.178705664
Gunnebo,Sverige,Mid Cap,Industri,Säkerhet,GUNN,-0.356878853,28.41589548,0.234220128,0.873365902
ICA Gruppen,Sverige,Large Cap,Dagligvaror,Livsmedelsbutiker,ICA,-0.050168147,19.8626203,0.571426962,2.014193931
Haldex,Sverige,Mid Cap,Industri,Industrikomponenter,HLDX,-0.523125992,264.3678161,0.256590876,0.859921666
Heba,Sverige,Mid Cap,Finans & Fastighet,Fastighetsbolag,HEBA B,0.047017522,8.505786443,15.85730175,1.118634168
Hennes & Mauritz,Sverige,Large Cap,Sällanköpsvaror,Kläder & Skor,HM B,-0.025993237,16.2386428,0.937872441,3.825097689
Hexagon,Sverige,Large Cap,Industri,Mätning & Analys,HEXA B,-0.158856459,19.30496216,3.470018138,2.236186859
Hexpol,Sverige,Large Cap,Material,Kemikalier,HPOL B,-0.28853756,12.05384049,1.198533273,1.905171587
HiQ,Sverige,Mid Cap,Informationsteknik,IT-Konsulter,HIQ,-0.414979095,11.52920309,1.100462412,2.498632313
HMS Networks,Sverige,Mid Cap,Informationsteknik,Kommunikation,HMS,-0.323116264,24.0898141,3.266949309,4.972440882
Holmen B,Sverige,Large Cap,Material,Skogsbolag,HOLM B,0.170912075,4.386918517,2.08970353,0.95490454
Hufvudstaden A,Sverige,Large Cap,Finans & Fastighet,Fastighetsbolag,HUFV A,-0.060179219,9.623705258,15.28359015,0.964857989
Husqvarna B,Sverige,Large Cap,Sällanköpsvaror,Hemelektronik,HUSQ B,-0.329719696,11.47630042,0.685961634,1.678166773
I.A.R Systems,Sverige,Mid Cap,Informationsteknik,Affärs- & IT-System,IAR B,-0.55703125,19.03514956,3.810754438,2.610881757
Image Systems,Sverige,Small Cap,Informationsteknik,Affärs- & IT-System,IS,-0.214765129,-14.92346939,0.49301932,0.789502194
Indutrade,Sverige,Large Cap,Industri,Industrikomponenter,INDT,-0.041825094,20.53823208,1.65322731,4.245128033
ICTA,Sverige,Small Cap,Industri,Affärskonsulter,ICTA,-0.180929146,0.908006722,0.311855616,0.752850071
Intrum,Sverige,Large Cap,Finans & Fastighet,Kredit & Finansiering,INTRUM,-0.509670525,-49.58348424,1.122845493,0.815330481
ITAB Shop Concept,Sverige,Mid Cap,Industri,Bygginredning,ITAB B,-0.495926666,8.447098976,0.167149027,0.579857952
JM,Sverige,Large Cap,Industri,Bostadsbyggnation,JM,0.042629261,8.449492496,0.845377055,1.810763957
Kabe,Sverige,Small Cap,Sällanköpsvaror,Bil & Motor,KABE B,-0.298657722,7.970345738,0.398854962,0.862844037
Karo Pharma,Sverige,Mid Cap,Hälsovård,Biotech,KARO,0.023267958,724.8148148,3.383130209,1.140038728
Klövern A,Sverige,Large Cap,Finans & Fastighet,Fastighetsbolag,KLOV A,0.27822588,4.354395604,3.594351292,0.648881004
KnowIT,Sverige,Mid Cap,Informationsteknik,IT-Konsulter,KNOW,-0.325531883,10.4738855,0.729220713,1.98516366
Kungsleden,Sverige,Large Cap,Finans & Fastighet,Fastighetsbolag,KLED,0.127809076,7.811967974,7.238035865,1.002845431
Lagercrantz,Sverige,Mid Cap,Industri,Elektroniska komponenter,LAGR B,0.04214561,19.96586718,1.776961698,4.558962376
Lammhults Design,Sverige,Small Cap,Industri,Bygginredning,LAMM B,-0.002217261,6.988337242,0.371940123,0.765217391
Latour,Sverige,Large Cap,Finans & Fastighet,Investmentbolag,LATO B,-0.004999987,14.32754152,5.555541724,2.934334187
Lindab,Sverige,Mid Cap,Industri,Installation & VVS,LIAB,0.01711484,9.367048704,0.643316694,1.263342431
Loomis,Sverige,Large Cap,Industri,Säkerhet,LOOM B,-0.222925892,11.22326243,0.877849582,1.925924374
Lundbergföretagen,Sverige,Large Cap,Finans & Fastighet,Investmentbolag,LUND B,0.226080742,7.194439073,3.962502886,1.056800828
Lundin Mining,Sverige,Large Cap,Material,Gruv - Prospekt & Drift,LUMI,-0.187134495,16.67204872,1.473263286,0.739046105
Lundin Petroleum,Sverige,Large Cap,Energi,Olja & Gas - Exploatering,LUPE,-0.501971054,6.084272797,1.702071275,-3.139165354
Malmbergs Elektriska,Sverige,Small Cap,Industri,Elektroniska komponenter,MEAB B,-0.36285717,10.28787599,0.580175809,1.169839901
Medivir,Sverige,Small Cap,Hälsovård,Biotech,MVIR B,-0.242256641,-2.696531906,46.21466667,1.803499187
Mekonomen,Sverige,Mid Cap,Sällanköpsvaror,Bil & Motor,MEKO,-0.101371918,8.043608776,0.276442486,0.766322803
Mycronic,Sverige,Large Cap,Informationsteknik,Elektronik & Tillverkning,MYCR,-0.156296282,13.04098924,2.588811864,3.744127837
Midsona B,Sverige,Mid Cap,Dagligvaror,Hälsoprodukter,MSON B,-0.362708778,17.06154075,0.537146592,0.712725517
Midway B,Sverige,Small Cap,Finans & Fastighet,Investmentbolag,MIDW B,0.018867997,9.800955896,0.541743467,0.896523493
Millicom,Sverige,Large Cap,Telekommunikation,Bredband & Telefoni,TIGO SDB,-0.471929817,21.34615521,0.733523095,1.320280672
Stockwik,Sverige,Small Cap,Finans & Fastighet,Investmentbolag,STWK,1.119318085,5.562597867,0.441168966,1.652602799
Amasten,Sverige,First North,Finans & Fastighet,Fastighetsbolag,AMAST,0.317796631,6.302563583,6.711533779,0.873940452
MQ,Sverige,Small Cap,Sällanköpsvaror,Kläder & Skor,MQ,-0.86503067,-0.213696799,0.073011894,0.162715147
Empir Group,Sverige,Small Cap,Informationsteknik,IT-Konsulter,EMPIR B,-0.420558548,-4.908698213,0.194006829,0.372687782
MTG B,Sverige,Large Cap,Sällanköpsvaror,Media & Publicering,MTG B,-0.815463257,-7.482677857,971.9252145,0.79608163
MultiQ,Sverige,Small Cap,Informationsteknik,Datorer & Hårdvara,MULQ,0.242774639,4.618689581,0.425903841,1.0719259
NCC B,Sverige,Large Cap,Industri,Byggnation & Infrastruktur,NCC B,-0.098207865,15.56295078,0.233307003,4.463337714
Nederman,Sverige,Mid Cap,Industri,Installation & VVS,NMAN,0.003539836,17.61416589,0.923295076,2.885849804
NetEnt,Sverige,Mid Cap,Sällanköpsvaror,Betting & Casino,NET B,-0.505868874,9.637612374,2.305315612,4.320403459
Net Insight,Sverige,Small Cap,Informationsteknik,Kommunikation,NETI B,-0.21826086,-21.4047619,1.53455522,1.484274211
New Wave,Sverige,Mid Cap,Sällanköpsvaror,Kläder & Skor,NEWA B,-0.33986927,7.138061416,0.388251988,0.713908374
NIBE,Sverige,Large Cap,Industri,Installation & VVS,NIBE B,0.05249681,28.63845403,2.452259995,3.530173415
Nobia,Sverige,Large Cap,Sällanköpsvaror,Möbler & Inredning,NOBI,-0.143840618,9.842347502,0.572300619,1.863957826
Nolato,Sverige,Large Cap,Material,Kemikalier,NOLA B,0.006015022,15.0750938,1.338270337,3.573082535
Nordea Bank,Sverige,Large Cap,Finans & Fastighet,Banker,NDA SE,-0.330151062,13.85161306,2.43664809,0.668205547
NOTE,Sverige,Small Cap,Informationsteknik,Elektronik & Tillverkning,NOTE,0.028112481,8.034397263,0.419970909,1.589567312
Strax,Sverige,Small Cap,Sällanköpsvaror,Fritid & Sport,STRAX,0.212121258,-15.89403974,0.242545895,1.371337598
Novotek,Sverige,Small Cap,Informationsteknik,Affärs- & IT-System,NTEK B,-0.116719265,11.11640464,0.968984656,2.426819297
Oasmia Pharmaceutical,Sverige,Mid Cap,Hälsovård,Läkemedel,OASM,-0.307159348,-10.88336659,111.8016158,3.671281467
Odd Molly,Sverige,Small Cap,Sällanköpsvaror,Kläder & Skor,ODD,-0.685185165,-0.66598762,0.187584292,0.387096873
OEM,Sverige,Mid Cap,Industri,Industrikomponenter,OEM B,0.036649215,15.83113456,1.386840255,4.291919325
Trention,Sverige,Small Cap,Finans & Fastighet,Investmentbolag,TRENT,-0.16279068,-24.69861805,3.00966674,0.617782567
Orexo,Sverige,Mid Cap,Hälsovård,Läkemedel,ORX,-0.48527607,6.628742988,1.719165424,2.055989454
Ortivus B,Sverige,Small Cap,Hälsovård,Hälsovård & Hjälpmedel,ORTI B,1.018633499,-7.897934386,2.485948317,14.43974183
Peab,Sverige,Large Cap,Industri,Byggnation & Infrastruktur,PEAB B,-0.117350197,9.863921596,0.382077655,1.682312897
Poolia,Sverige,Small Cap,Industri,Bemanning,POOL B,-0.280653934,10.43478261,0.146648848,1.607298172
Precise Biometrics,Sverige,Small Cap,Informationsteknik,Biometri,PREC,-0.209097633,673.75,4.224319493,3.070595634
Prevas,Sverige,Small Cap,Informationsteknik,IT-Konsulter,PREV B,0.679082947,9.273619244,0.371645612,1.584462038
Pricer,Sverige,Small Cap,Informationsteknik,Elektronisk Utrustning,PRIC B,0.425709572,19.284182,1.878476418,2.325257961
Proact IT,Sverige,Mid Cap,Informationsteknik,IT-Konsulter,PACT,-0.540833359,12.58982532,0.295912497,1.923769935
Probi,Sverige,Mid Cap,Dagligvaror,Livsmedel,PROB,-0.528045311,22.10164635,3.031403148,1.647597919
ProfilGruppen,Sverige,Small Cap,Industri,Industrikomponenter,PROF B,-0.279629593,7.789503194,0.354874669,1.443435807
Ratos B,Sverige,Large Cap,Finans & Fastighet,Investmentbolag,RATO B,0.053285084,9.651118695,0.253230328,0.578989542
RaySearch Laboratories,Sverige,Mid Cap,Hälsovård,Medicinsk Utrustning,RAY B,-0.373007965,42.81147987,2.910142142,3.059125077
Rejlerkoncernen,Sverige,Small Cap,Industri,Affärskonsulter,REJL B,0.284507008,21.72721858,0.658162314,1.812528919
RNB Retail and Brands,Sverige,Small Cap,Sällanköpsvaror,Kläder & Skor,RNBS,-0.873927383,-0.150895696,0.011566931,0.119066029
Rottneros,Sverige,Mid Cap,Material,Skogsbolag,RROS,-0.337455826,5.898545026,0.477583472,0.829195652
Saab,Sverige,Large Cap,Industri,Militär & Försvar,SAAB B,-0.288639355,14.48690529,0.810754585,1.39895141
Sagax A,Sverige,Large Cap,Finans & Fastighet,Fastighetsbolag,SAGA A,0.447852745,12.25044901,19.31032899,2.615222413
Sandvik,Sverige,Large Cap,Industri,Industrimaskiner,SAND,-0.163087273,18.31856977,1.515158509,2.528726021
SAS,Sverige,Mid Cap,Industri,Flygtransport,SAS,-0.612254448,13.8512949,0.067611861,0.715453368
SCA B,Sverige,Large Cap,Material,Skogsbolag,SCA B,-0.040077672,3.576211677,2.548424938,0.810243643
SEB A,Sverige,Large Cap,Finans & Fastighet,Banker,SEB A,-0.264534283,7.313011057,2.943193841,0.947681952
Sectra,Sverige,Mid Cap,Hälsovård,Medicinsk Utrustning,SECT B,0.352743149,57.31019668,7.974476236,18.08339742
Securitas,Sverige,Large Cap,Industri,Säkerhet,SECU B,-0.294499512,11.22807399,0.339879906,1.926125083
Semcon,Sverige,Small Cap,Industri,Affärskonsulter,SEMC,-0.124573374,8.741288531,0.500052147,1.49846299
Sensys Gatso,Sverige,Small Cap,Informationsteknik,Säkerhet & Bevakning,SENS,-0.356250038,-66.4516129,2.18008914,1.973525289
Handelsbanken A,Sverige,Large Cap,Finans & Fastighet,Banker,SHB A,-0.236027241,9.072932687,3.445169374,0.960574403
SinterCast,Sverige,Small Cap,Industri,Industrikomponenter,SINT,0.282178211,19.04887987,7.881158798,8.219829902
Skanska,Sverige,Large Cap,Industri,Byggnation & Infrastruktur,SKA B,-0.016437536,11.15169834,0.390591811,2.050547692
SKF B,Sverige,Large Cap,Industri,Industrikomponenter,SKF B,-0.155606432,10.58285602,0.683717364,1.656019983
SkiStar,Sverige,Mid Cap,Sällanköpsvaror,Resor & Nöjen,SKIS B,-0.314553986,15.68374691,2.188892651,2.500343273
Softronic,Sverige,Small Cap,Informationsteknik,IT-Konsulter,SOF B,-0.226586056,12.07433261,0.935697778,2.45787085
SSAB A,Sverige,Large Cap,Material,Gruv - Industrimetaller,SSAB A,-0.426920815,19.0074727,0.267127306,0.338747753
Stora Enso R,Sverige,Large Cap,Material,Skogsbolag,STE R,-0.257016811,7.795999764,0.671276885,0.924215245
Studsvik,Sverige,Small Cap,Industri,Energi & Återvinning,SVIK,-0.336787529,-7.514603575,0.321722324,0.69578836
Svedbergs,Sverige,Small Cap,Sällanköpsvaror,Möbler & Inredning,SVED B,-0.243697453,9.150061,0.625004926,2.127602012
Sweco B,Sverige,Large Cap,Industri,Affärskonsulter,SWEC B,0.130193892,20.66136628,1.394029643,4.02308303
Swedbank,Sverige,Large Cap,Finans & Fastighet,Banker,SWED A,-0.338890457,6.525044824,2.796424173,0.927078365
Swedish Match,Sverige,Large Cap,Dagligvaror,Tobak,SWMA,0.14546237,22.72179156,6.004559794,-13.99449823
Swedish Orphan Biovitrum,Sverige,Large Cap,Hälsovård,Läkemedel,SOBI,-0.330825195,12.21002843,2.831391399,2.382850836
Swedol,Sverige,Mid Cap,Sällanköpsvaror,Detaljhandel,SWOL B,0.212201595,16.04353168,1.04973358,2.699304274
Systemair,Sverige,Mid Cap,Industri,Installation & VVS,SYSR,0.184456902,14.23811989,0.728638206,2.087326268
Tele2 B,Sverige,Large Cap,Telekommunikation,Bredband & Telefoni,TEL2 B,-0.051488347,31.14186851,2.928492946,2.327228456
Telia Company,Sverige,Large Cap,Telekommunikation,Bredband & Telefoni,TELIA,-0.256232033,18.15150629,1.497634533,1.414056111
TietoEVRY,Sverige,Large Cap,Informationsteknik,IT-Konsulter,TIETOS,-0.230142574,20.13816128,0.90861937,0.940415946
TradeDoubler,Sverige,Small Cap,Sällanköpsvaror,Marknadsföring,TRAD,-0.371875,-7.730769231,0.074844724,0.388853608
Viking Supply,Sverige,Small Cap,Industri,Sjöfart & Rederi,VSSAB B,-0.378089447,9.70368776,1.001172024,0.248078024
Trelleborg,Sverige,Large Cap,Material,Kemikalier,TREL B,-0.230794697,-158.2209508,0.860528392,1.077663363
Agromino,Sverige,Small Cap,Dagligvaror,Jordbruk,AGRO,-0.242165203,8.233254921,0.563797383,0.412127617
Kindred,Sverige,Large Cap,Sällanköpsvaror,Betting & Casino,KIND SDB,-0.656256714,10.61637048,0.658285229,2.567875032
VBG,Sverige,Mid Cap,Industri,Industrikomponenter,VBG B,-0.167910442,9.308732677,0.748361518,1.148389834
Venue Retail Group,Sverige,Small Cap,Sällanköpsvaror,Accessoarer,VRG B,-0.409638519,-1.661580197,0.085186377,4.18215
Vitrolife,Sverige,Large Cap,Hälsovård,Medicinsk Utrustning,VITR,-0.297609291,38.99271191,10.08398237,8.319639715
Volvo B,Sverige,Large Cap,Industri,Industrimaskiner,VOLV B,-0.124489031,6.668364892,0.553576554,1.72541578
Wallenstam,Sverige,Large Cap,Finans & Fastighet,Fastighetsbolag,WALL B,0.084937706,11.30570242,15.27314906,1.300580027
Wihlborgs,Sverige,Large Cap,Finans & Fastighet,Fastighetsbolag,WIHL,0.176567383,7.520062264,7.368790479,1.228887013
XANO Industri,Sverige,Mid Cap,Industri,Industrikomponenter,XANO B,-0.28020565,11.97953211,0.917598684,2.4408125
ÅF,Sverige,Large Cap,Industri,Affärskonsulter,AF B,0.017565074,20.81320152,0.863359741,1.824040991
Karolinska Development,Sverige,Small Cap,Finans & Fastighet,Investmentbolag,KDEV,-0.514950142,0.711986736,63.74470449,0.214056991
Boule Diagnostics,Sverige,Small Cap,Hälsovård,Medicinsk Utrustning,BOUL,-0.229599972,24.84904784,1.867706554,2.799035146
Dedicare,Sverige,Small Cap,Industri,Bemanning,DEDI,-0.372134056,12.21059853,0.415409794,3.462491944
Moberg Pharma,Sverige,Small Cap,Hälsovård,Läkemedel,MOB,-0.843740616,8.727150198,0.497617375,0.164301485
Concentric,Sverige,Mid Cap,Industri,Industrikomponenter,COIC,-0.262865105,12.67018085,2.021428429,3.580205986
Cavotec,Sverige,Mid Cap,Industri,Industrimaskiner,CCC,0.307086658,18.73166328,0.747820984,1.373144233
Micro Systemation,Sverige,Small Cap,Informationsteknik,Elektronisk Utrustning,MSAB B,-0.682659912,71.1858006,1.133696359,4.582457293
Vitec Software,Sverige,Mid Cap,Informationsteknik,Affärs- & IT-System,VIT B,0.612359543,45.43439716,3.58443328,6.112192402
Semafo,Sverige,Mid Cap,Material,Gruv - Guld & Silver,SMF,-0.385310745,11.0982659,1.170680787,0.697818632
Bulten,Sverige,Mid Cap,Industri,Industrikomponenter,BULTEN,-0.35343792,20.25852294,0.347126285,0.724957191
Moment Group,Sverige,Small Cap,Sällanköpsvaror,Resor & Nöjen,MOMENT,-0.753086395,-1.052631579,0.06826569,0.672804124
ADDvise Group A,Sverige,First North,Hälsovård,Hälsovård & Hjälpmedel,ADDV A,-0.567307701,21.53110048,0.244109934,1.038316489
Arctic Minerals,Sverige,First North,Material,Gruv - Guld & Silver,ARCT,-0.10199007,-8.667466987,25.72639548,0.860427586
Avensia,Sverige,First North,Informationsteknik,Betalning & E-handel,AVEN,-0.447887306,18.92622634,1.14959853,5.624793941
Avtech,Sverige,First North,Informationsteknik,Affärs- & IT-System,AVT B,-0.515443993,89.0070922,3.343509434,2.452678201
Bredband2,Sverige,First North,Telekommunikation,Bredband & Telefoni,BRE2,0.058373199,19.10189983,1.156084195,9.843308728
C-RAD,Sverige,Small Cap,Hälsovård,Medicinsk Utrustning,CRAD B,-0.14956008,-64.93506494,4.362706913,10.757503
Catella B,Sverige,Mid Cap,Finans & Fastighet,Kapitalförvaltning,CAT B,-0.254681683,15.19547954,0.709500785,1.128115572
Auriant Mining,Sverige,First North,Material,Gruv - Guld & Silver,AUR,0.23966938,-49.58677686,1.051068137,-1.157138668
Confidence,Sverige,First North,Industri,Säkerhet,CONF,-0.576553574,-1.963814892,0.363402381,1.597995992
DistIT,Sverige,First North,Informationsteknik,Datorer & Hårdvara,DIST,-0.380434799,9.139595292,0.150172466,0.885273141
Diadrom,Sverige,First North,Informationsteknik,IT-Konsulter,DIAH,-0.244262257,10.18559434,1.104858478,3.722557108
Dignitana,Sverige,First North,Hälsovård,Medicinsk Utrustning,DIGN,0.313636379,-7.582316673,6.777839985,5.233384995
Drillcon,Sverige,First North,Material,Gruv - Service,DRIL,0.075268831,7.259528131,0.680924694,1.611921958
Ellen,Sverige,First North,Hälsovård,Biotech,ELN,-0.502487564,-3.649635036,1.188115235,3.158969561
Kakel Max,Sverige,First North,Industri,Byggmaterial,KAKEL,-0.081818151,6.692287305,0.204306688,0.734483914
Endomines,Sverige,Small Cap,Material,Gruv - Guld & Silver,ENDO,-0.250000019,-3.853339561,50.95427586,0.879499801
Eolus Vind,Sverige,Mid Cap,Kraftförsörjning,Vindkraft,EOLU B,0.971887512,14.05728846,1.064815981,2.628984024
