Bolagsnamn,Lista,Sektor,Bransch,Ticker,Kursutveckling,Direktavkastning,PE,PS,PB,Kursutveckling2,Direktavkastning2,PE2,PS2,PB2,Kursutveckling3,Direktavkastning3,PE3,PS3,PB3
AarhusKarlshamn,Large Cap,Dagligvaror,Livsmedel,AAK,0.183362789,0.042731199,28.52096939,1.47756803,4.102798939,-0.599999962,0.015765769,51.98556137,0.471921504,0.788450718,-0.059888577,0.043946671,27.78005981,1.428800941,2.955419064
ABB,Large Cap,Industri,Industrimaskiner,ABB,-0.050601749,0.01940994,28.57024956,1.469442964,3.039484978,-0.325062027,0.01383764,4.284139156,6.643881798,0.598489225,0.168704147,0.020920501,20.64813042,1.387734056,5.920145035
Active Biotech,Small Cap,Hälsovård,Biotech,ACTI,-0.115384588,0.061538458,-11.75969028,47.72040176,7.450768948,-0.300000019,0.01634192,-0.516986728,-0.716212571,0.152067393,-0.200000038,0.032277,13.0287199,1.536542058,2.589684963
Addnode,Mid Cap,Informationsteknik,IT-Konsulter,ANOD B,0.108243771,0.01103448,40.0611496,1.504896045,3.665117025,0.079418302,0.02828054,28.91819,3.089204073,-6.748372078,0.003333346,0.066445179,49.52286911,0.613651872,2.894288063
Addtech,Large Cap,Industri,Industrikomponenter,ADDT B,0.178947392,0.027847731,22.25505066,1.495733023,6.380876064,-0.153015852,0.070270271,12.84916019,2.224963903,0.776430011,-0.128860741,0.011624531,19.12431908,2.032448053,3.23130393
Alfa Laval,Large Cap,Industri,Industrikomponenter,ALFA,-0.203703747,0.01069355,13.64422035,1.609130979,2.712025881,-0.515625,0.01210428,-4.397162914,0.136919796,1.303666949,0.151974144,0.029922459,91.19229126,4.992671967,9.274115562
A3 Allmänna IT- och Telekom,Small Cap,Telekommunikation,Bredband & Telefoni,ATRE,0.072607288,0.033783779,53.47153854,0.662580907,3.125061989,-0.542288551,0.068259392,6.044678211,0.703317583,0.427054912,0.184140377,0.01126851,22.83538055,3.63628006,7.087707996
Anoto,Small Cap,Informationsteknik,Elektronisk Utrustning,ANOT,-0.325236168,0.024083769,-4.006410122,1.148980975,0.540009081,-0.72727272,0.01996008,-0.548111975,2.402390957,-0.705493212,-0.166465664,0.03617945,6.559027195,6.549676895,0.808073282
Arise Windpower,Small Cap,Kraftförsörjning,Vindkraft,ARISE,0.764102631,0.03557409,-4.885392189,2.52877903,1.644793034,-0.240174656,0.07841907,-13.17183971,1.314326048,0.247113094,-0.417735634,0.056477008,8.382714272,0.452596992,1.834164023
Assa Abloy,Large Cap,Industri,Byggmaterial,ASSA B,-0.124818954,0.054844608,20.14694977,2.141128063,3.404090881,-0.213684807,0.02166065,12.47774982,0.245991305,0.992117286,0.135253935,0.024731181,31.6487999,11.85807991,10.55723
AstraZeneca,Large Cap,Hälsovård,Läkemedel,AZN,0.297069988,0.008293839,97.98636627,5.364640236,9.965063095,-0.80161293,0.041024652,-2.742475033,35.59593964,-7.688990116,0.232000027,0.03362709,27.45656967,0.891765594,11.25576973
Atlas Copco A,Large Cap,Industri,Industrimaskiner,ATCO A,0.187590637,0.0275634,24.06316948,3.831790924,7.468792915,-0.66822197,0.019375,25.73348999,0.373062491,0.994900107,-0.528680687,0.060851932,10.73886967,0.333899885,0.847608507
Atrium Ljungberg,Large Cap,Finans & Fastighet,Fastighetsbolag,ATRLJ B,-0.110576887,0.062776299,7.024137974,7.014125824,0.865375221,-0.3109091,0.06666667,5.118855,0.744594693,0.323469192,0.134774294,0.009803922,26.27396011,1.529160023,5.195784092
Autoliv,Large Cap,Sällanköpsvaror,Bil & Motor,ALIV SDB,-0.312288857,0.095281305,10.62693977,0.57376641,2.325206995,-0.777026978,0.043238988,-2.415812016,0.379026413,0.517167807,-0.361111107,0.030193241,11.58253002,1.079622984,2.067667007
Avanza,Large Cap,Finans & Fastighet,Nischbanker,AZA,0.145083914,0.03822222,32.49956894,12.17685032,10.84103012,0.305274372,0.051282048,28.44207001,5.436025143,2.653283119,-0.451102333,0.073120489,6.826011181,1.039137006,1.097255945
Axfood,Large Cap,Dagligvaror,Livsmedelsbutiker,AXFO,0.171937962,0.008522727,25.95384979,0.842958391,10.63973045,-0.480769234,0.047547169,5.914566994,1.512776971,0.465362996,-0.32447464,0.096065874,6.830224991,0.186794907,1.730051994
Bergman & Beving,Mid Cap,Industri,Industrikomponenter,BERG B,-0.479047623,0.014414411,11.91512966,0.370473206,0.940450013,-0.402705193,0.03761755,3.580576897,0.267939806,1.164989948,-0.159969072,0.03955842,21.18577957,0.91953671,1.154971957
BE Group,Small Cap,Industri,Industrikomponenter,BEGR,-0.375000038,0.035998969,53.79336166,0.088135019,0.401827991,0.297872429,0.0460358,21.55096054,0.669747591,1.744431019,-0.091201715,0.0188902,39.18828964,9.55531311,14.45600033
Beijer Ref,Large Cap,Industri,Installation & VVS,BEIJ B,0.30812149,0.021989529,31.05772972,1.807579041,6.141795158,-0.854938278,0.03759398,-0.936628222,0.105838001,0.07594154,-0.22265625,0.0160804,34.68470001,5.883327961,7.401161194
Beijer Alma,Mid Cap,Industri,Industrikomponenter,BEIA B,-0.327151375,0.01416431,12.68762016,1.182631016,2.264944077,0.799435043,0.04237288,12.57402039,3.073951006,1.677266955,-0.355067177,0.039425509,8.393013,0.972482324,1.17185998
Beijer Electronics,Small Cap,Informationsteknik,Datorer & Hårdvara,BELE,-0.292832165,0.040688581,17.8115406,0.74061799,1.690317035,0.42620491,0.048192768,29.85498047,4.174895763,1.058091044,0.040963874,0.024305561,22.03294945,1.780429006,3.955550909
Bergs Timber,Small Cap,Material,Skogsbolag,BRG B,-0.365695763,0.02166667,14.93902016,0.204388604,0.60964179,-0.532687683,0.024896269,9.817885399,3.070333958,0.586061001,-0.055210881,0.01641497,2.497912884,2.271819115,0.779085696
Betsson,Large Cap,Sällanköpsvaror,Betting & Casino,BETS B,-0.396960754,0.079617829,7.950790882,1.210365057,1.278059959,-0.558441505,0.023809519,-2.874396086,0.110195003,1.193521023,-0.141923199,0.041269841,7.615797043,7.392055988,0.982917011
